timestamp,latitude,longitude,altitude_m,ground_speed_mps,heading_deg,battery_percent,gps_satellites,roll_deg,pitch_deg,yaw_deg,signal_rssi_dbm,temperature_c
2026-06-11T08:00:00,21.0225506,105.8523818,114.56,12.97,105.66,98.52,14,-8.72,5.47,105.66,-56,38.0
2026-06-11T08:00:02,21.0225489,105.852424,113.32,13.16,104.11,98.43,15,-3.5,-9.25,104.11,-80,37.4
2026-06-11T08:00:04,21.0226209,105.8524867,114.09,13.21,96.18,98.41,15,-8.21,7.54,96.18,-73,27.2
2026-06-11T08:00:06,21.0226023,105.8525009,113.09,13.72,92.83,98.36,15,-1.99,3.74,92.83,-84,30.8
2026-06-11T08:00:08,21.0226665,105.8524784,112.16,14.44,91.28,98.25,15,-8.27,9.7,91.28,-79,37.5
2026-06-11T08:00:10,21.0226808,105.8524254,111.76,14.68,97.31,98.23,15,8.14,2.46,97.31,-54,41.9
2026-06-11T08:00:12,21.0227068,105.85245,110.32,14.99,95.39,98.16,15,-0.77,-6.94,95.39,-48,36.7
2026-06-11T08:00:14,21.0226282,105.8524374,109.12,15.02,98.61,98.08,16,9.92,-7.9,98.61,-53,27.0
2026-06-11T08:00:16,21.0225665,105.8523744,108.22,14.54,98.98,98.04,16,-4.26,-1.8,98.98,-82,25.7
2026-06-11T08:00:18,21.0225659,105.8523276,109.52,14.27,101.72,98.01,15,10.06,3.38,101.72,-83,41.1
2026-06-11T08:00:20,21.0226106,105.8522596,110.19,14.91,101.03,97.93,15,-7.08,-9.0,101.03,-81,39.9
2026-06-11T08:00:22,21.022667,105.8522372,110.72,14.8,106.65,97.9,14,-14.71,-7.23,106.65,-51,27.9
2026-06-11T08:00:24,21.0226442,105.8522273,111.08,15.4,111.69,97.87,14,-11.59,-1.99,111.69,-63,29.6
2026-06-11T08:00:26,21.0226259,105.8522834,111.98,15.64,105.5,97.77,13,14.45,6.89,105.5,-86,32.1
2026-06-11T08:00:28,21.0226404,105.8523317,112.52,15.13,103.24,97.71,12,10.88,7.6,103.24,-84,33.2
2026-06-11T08:00:30,21.0226385,105.8523938,112.34,14.43,95.43,97.63,12,14.34,3.4,95.43,-71,33.8
2026-06-11T08:00:32,21.0226686,105.8524127,112.14,14.79,98.05,97.56,13,-10.54,6.53,98.05,-53,25.9
2026-06-11T08:00:34,21.0226916,105.8523578,113.18,15.36,91.25,97.45,14,-5.38,-3.38,91.25,-75,25.9
2026-06-11T08:00:36,21.0226472,105.8523807,112.89,14.93,96.07,97.39,15,-12.36,-0.03,96.07,-72,27.0
2026-06-11T08:00:38,21.0226468,105.8524052,111.7,14.79,88.07,97.31,14,8.75,9.26,88.07,-52,30.2
