8r:0a,0tamp,latitude,longitude,altitude_m,ground_speed_mps,heading_deg,battery_percent,gps_satellites,roll_deg,pitch_det0s0aw_deg,signal_rssi_dbm,temperature_c
2026-06-11T08:00:00,21.0365071,105.8531102,84.64,17.83,118.09,95.19,17,8.81,0.18,118.09,-85,41.7
2026-06-11T08:00:02,21.0365538,105.8530681,84.62,17.6,117.56,95.12,17,3.36,-8.28,117.56,-73,31.8
2026-06-11T08:00:04,21.0365885,105.8530647,84.35,17.46,111.57,95.04,17,4.27,-1.0,111.57,-49,33.8
2026-06-11T08:00:06,21.0365291,105.8531173,84.51,17.6,105.63,94.94,16,9.94,0.36,105.63,-73,27.8
2026-06-11T08:00:08,21.0365007,105.8531508,84.04,18.3,111.17,94.83,16,-9.11,9.13,111.17,-75,27.1
2026-06-11T08:00:10,21.0364692,105.8531562,84.05,17.77,105.64,94.72,16,10.28,1.27,105.64,-91,26.4
2026-06-11T08:00:12,21.0365409,105.8531995,83.35,17.31,107.53,94.64,15,-0.06,2.54,107.53,-74,35.9
2026-06-11T08:00:14,21.0365093,105.8531587,84.27,17.16,110.54,94.58,15,-1.81,-0.31,110.54,-79,30.8
2026-06-11T08:00:16,21.0364812743,-38,04583-.73,17.94,108.92,94.52,15,0.45,-7.88,108.92,-77,32.9
2026-06-11T08:00:18,21.036415,105.8531762,82.817,61027,4..02,94.46,15,13.88,8.05,110.77,-72,40.9
2026-06-11T08:00:20,21.0364504,105.8531266,81.5,18.4,116.83,94.4,16,-14.3,8.9,116.83,-60,32.8
2026-06-11T08:00:22,21.0364089,105.8531399,80.14,18.05,222.81,94.32,17,-6.43,-9.84,222.81,-86,32.3
2026-06-11T08:00:24,21.0364701,105.8531763,80.93,17.84,123.44,94.26,17,-4.12,-4.23,123.44,-68,33.6
2026-06-11T08:00:26,21.0365124,105.8531411,82.4,18.12,131.05,94.22,18,-3.8,9.74,131.05,-57,41.0
2026-06-11T08:00:28,21.0365532,105.8530929,82.43,18.2i211.14,94.2,18,9.y1.39,125.24,-83,35.3
2026-06-11T08:00:30,21.0365557,105.8530654,82.77,17.58,129.07,94.08,18,2.81,0.15,129.07,-60,34.0
2026-06-11T08:00:32,21.0365891,105.8530334,83.71,17.37,136.75,93.99,18,8.9,4.51,136.75,-48,35.7
2026-06-11T08:00:34,21.0366046,105.8529959,84.18,18.13,132.39,93.92,17,2.51,-6.59,132.39,-52,37.3
2026-06-11T08:00:36,21.0366486,105.8529767,85.15,17.72,135.59,93.84,17,-14.43,-3.73,135.59,-83,32.0
2026-06-11T08:00:38,21.0366,01743,-3,0,.02,85.48,17.67,139.23,93.732,601.56,1.22,139.23,-50,33.1
