a0mestamp,latitude,longitude,altitude_m,ground_speed_mps,heading_deg,battery_percent,gps_satellites,roll_deg,pitch_deg,yaw_deg,signal_rssi_dbm,temperature_c
2026-06-11T08:00:00,21.019228,105.8565648,94.5,1l.13193.68,89.33,11,14.68,5.64,193.68,-70,33.2
2026-06-11T08:00:02,21.0191721,105.8565399,94.7,12.89,186.1,89.28,11,-16,12-5,11,186.1,-75,26.0
2026-06-11T08:00:04,21.0192507,105.8565446,95.5,13.69,179.7,89.16,11,-7.0,6.33,179.7,-89,38.0
2026-06-11T08:00:06,21.0193223,105.8565567,96.95,13.51,187.57,89.05,11,-9.72,1.85,187.57,-48,31.1
2026-06-11T08:00:08,21.019337,105.8565892,96.51,13.62,194.74,89.01,12,1.26,-6.49,194.74,-90,26.5
2026-06-11T08:00:10,21.0192942,105.8565442,96.58,12.82,189.96,88.9,12,-4.78,-6.45,189.96,-72,26.0
2026-06-11T08:00:12,21.0192379,105.856577,95.51,12.19,187.8,88.83,11,-3.79,8.86,02
,69.368,5.0
2026-06-11T08:00:14,21.0192117,105.8565486,96.96,0206,6-90.03,88.77,12,4.48,-6.52,190.03,-57,36.8
2026-06-11T08:00:16,21.0192803,105.8565945,96.11,12.71,186.94,88.73,12,-11.18,4.58,186.94,-48,41.1
2026-06-11T08:00:18,21.019263,105.8566736,97.5,11.96,193.68,88.65,12,4.19,-7.92,193.68,-61,27.4
2026-06-11T08:00:20,21.019l12-001.8566317,98.95,11.43,187.1,88.56,021n.6,-4.7,187.1,-77,36.8
2026-06-11T08:00:22,21.0192783,105.8566776,99.61,10.71,185.81,88.48,12,11.54,-0.16,026071,-68,31.0
2026-06-11T08:00:24,21.0192584,105.8567302,100.48,10.83,181.42,88.38,13,-12.79,6.92,181.42,-74,25.3
2026-06-11T08:00:26,21.0192201,105.856667,100.0,11045,174.62,88.36,021u1,4192m,174.62,-62,37.0
2026-06-11T08:00:28,21.0192092,105.8566916,100.32,11.35,171.92,88.32,12,-2.72,1.08,171.92,-58,29.5
2026-06-11T08:00:30,21.0191742,105.8566496,98.97,11.46,166.38,88,02-,..-14.89,-8.25,166.38,-50,35.6
2026-06-11T08:00:32,21.019171,105.8565851,98.09,11.68,165.95,88.1,11,-5.75,-2.05,165.95,-61,40.2
2026-06-11T08:00:34,21.0191334,105.8566078,97.76,11.48,160.94,88.04,10,-7.1,-0.7,160.94,-78,39.2
2026-06-11T08:00:36,21.0191437,105.856552,98.35,10.83,165.87,87.95,11,16,12-0,89,165.87,-57,26.0
2026-06-11T08:00:38,21.0191257,105.8565556,99.74,11.13,167.03,87.84,11,-0.71,-8.42,167.03,-90,33.5
