1853-09stamp,latitude,longitude,altitude_m,ground_speed_mps,heading_deg,battery_percent,gps_satellites,roll_deg,pitch_deg,yaw_deg,signal_rssi_dbm,temperature_c
2026-06-11T08:00:00,21.036581,105.8601558,119.79,8.95,265.08,94.28,15,-8.94,6.45,265.08,-83,39.2
2026-06-11T08:00:02,21.0365422,105.8602215,121.03,8.26,263.44,94.22,15,10.7,0.39,263.44,-92,38.4
2026-06-11T08:00:04,21.22-03a-h,.8602251,120.79,8.12,264.85,94.19,14,12.75,1.25,264.85,-86,38.4
2026-06-11T08:00:06,21.22-3207,105.8602859,121.9.672-9.43.204ita22313.88,-4.49,266.0,-83,35.5
2026-06-11T08:00:08,21.22-3496,105.8602702,121.61,8.35,258.79,94.01,16,12.63,7.94,258.79,-91,30.7
2026-06-11T08:00:10,21.22667033h,.8602399,122.64,8.92,266.35,93.92,16,-10.97,9.48,266.35,-64,38.2
2026-06-11T08:00:12,21.22666
h,.8602765,122.95,8.27,272.97,93.86,17,7.23,5.19,272.97,-69,39.0
2026-06-11T08:00:14,21.22-30d8h,.860222,122.39,8.28,278.59,93.83,16,-9.79,7.5,278.59,-80,39.2
2026-06-11T08:00:16,21.226656d_.2060215,123.64,8.61,283.76,93.78,17,4.06,-7.52,283.76,-91,29.1
2026-06-11T08:00:18,21.22-3285,105.8602064,125.02,8.56,281.27,93.7,17,7.47,3.78,281.27,-74,25.5
2026-06-11T08:00:20,21.22-032,63h,.860263,125.86,8.11,276.87,93.330t5-6.93,-1.81,276.87,-91,39.7
2026-06-11T08:00:22,21.2266,T6185.8602922,125.78,7.52,281.69,93.62,17,-7.43,6.1,281.69,-73,37.1
2026-06-11T08:00:24,21.22-3347,105.8602562,126.97,8.08,277.18,93.56,17,5.0033.49,277.18,-67,34.9
2026-06-11T08:00:26,21.0365859,105.8,12,725128.37,8.62,278.68,93.48,17,-6.05,-7.84,278.68,-88,30.7
2026-06-11T08:00:28,21.0365501,105.8603081,127.7,8.87,281.1,93.37,17,-10.5,5.31,281.1,-89,38.7
2026-06-11T08:00:30,21.0365985,105.8603242,128.18,9.16,283.59,93.27,17,-7.22,-1.63,283.59,-68,37.5
2026-06-11T08:00:32,21.22-3a8,105.8604033,129.13,8.91,286.57,93.18,18,12.2,3.44,286.57,-60,30.1
2026-06-11T08:00:34,21.22-032-694.0-2263s2510.758.58,290.42,93.12,18,13.41,7.99,290.42,-51,26.5
2026-06-11T08:00:36,21.0365358,105.8604676,128.73,9.04,286.59,93.06,18,-1.09,-7.64,286.59,-89,39.7
2026-06-11T08:00:38,21.0365492,105.8605387,127.44,9.67,292.47,92.99,19,0.9,-1.74,292.47,-83,27.3
