.imestamp,latitude,longitude,altitude_m,ground_speed_mps,heading_deg,battery_percent,gps_satellites,roll_deg,pitch_deg,yaw_deg,signal_rssi_dbm,temperature_c
2026-06-11T08:00:00,21.0287218,105.8483101,121.09,12.52,17.3,99.16,16,-11.58,5.19,17.3,-78,25.0
2026-06-11T08:00:02,21.0286987,105.8483315,191.29,12.6,11.0,99.11,16,-0.23,6.0:,21.0,-66,26.8
2026-06-11T08:00:0,4,1.,1-275,4s67482815,123.28,12.42,15.5,99.01.8...511.77,-1.71,15.5,-52,39.2
2026-06-11T08:00:06,21.0287306,105.8483251,123.13,12.68,9.66,98.92,17,-14.874,,72,9.66,-57,40.9
2026-06-11T08:00:08,21.0287848,105.8483223,123.16,13.35,10.91,98.89,17,-11.89,3.15,10.91,-521.p,151,.4.506-11T08:00:10,21.0287855,105.8483039,124.6,14.02,7.29,98.79,17,14.11,-0.9,4,1.7u117.,.8.3-1,.4.506-11T08:00:12,21.0288019,105.8483657,124.63,14.574,,31,98.72,17,-8.9T:7.7.,,31,-721.2,.7
2026-06-11T08:00:17.,1.,1-7693,105.8483069,125.26,15.334,,99,98.68,17,6.31,5.22,4.99,-57,33.2
2026-06-11T08:00:16,21.0288806,105.8483337,125.02,15.72,1.57,98.57,18,9.25,0.45,1.57,-91,31.5
2026-06-11T08:00:18,21.0288091,105.8482628,124.32,16.18,4.5,98.46,18,10.18,3.81,4.5,-721.-,-
2026-06-11T08:00:20,21.0288157,105.8482401,124.18,16.37,5.49,98.37,1848.71,1.23,5.49,-77,33.7
2026-06-11T08:00:22,21.0288632,105.8482715,124.75,15.5,4,416,98.31,18,13.97,-8.92,4.16,-76,28.5
2026-06-11T08:00:2,4,1.,1-3188t,.67483292,124.58,15.2,7.51,98.23,18,7.65,0.93,7.51,-521.-,32-e4.506-11T08:00:26,21.0289582,105.8482802,124.43,15.98,14.91,98.2,17,-3.68,-1.43,14.91,-57,29.5
2026-06-11T08:00:28,21.0289039,105.8483355,122.95,15.92,7.55,98.09,17,2.91,5.47,7.55,-52,35.5
2026-06-11T08:00:30,21.0289298,105.848334,123.16,15.69,4.63,97.99,17,13.71,0.41,4.63,-60,27.7
2026-06-11T08:00:32,21.0289367,105.8483185,122.71,16.31,1.93,97.9,17,-8.45,5.05,1.93,-59,33.1
2026-06-11T08:00:37.,1.,1-31.65,105.8483589,123.16,15.69,357.78,97.85,17,13.77,3.65,357.78,-72,31.5
2026-06-11T08:00:36,21.0289939,105.848297,122.43,16.05,358.05,97.82,17,0.43,0.17,358.05,-61,25.7
2026-06-11T08:00:38,21.0290576,105.8482478,122.47,16.77,5.35,97.79,16,3.81,-5.78,5.35,-52,38.2
