timestamp,latitude,longitude,altitude_m,ground_speed_mps,heading_deg,battery_percent,gps_satellites,roll_deg,pitch_deg,yaw_deg,signal_rssi_dbm,temperature_c
2026-06-11T08:00:00,21.0310982,105.8452588,89.24,11.84,354.9,93.35,14,-6.08,1.77,354.9,-65,30.2
2026-06-11T08:00:02,21.0311176,105.8452763,89.96,12.55,350.28,93.3,13,-10.29,-6.52,350.28,-88,27.7
2026-06-11T08:00:04,21.0311029,105.8453066,89.87,11.8,346.8,93.26,14,-12.86,-5.33,346.8,-76,38.4
2026-06-11T08:00:06,21.0311229,105.8453324,91.17,11.68,349.16,93.18,14,9.8,-8.57,349.16,-82,38.5
2026-06-11T08:00:08,21.0311381,105.8453843,92.43,11.59,346.03,93.11,15,13.28,0.01,346.03,-61,32.4
2026-06-11T08:00:10,21.0311538,105.8454466,93.14,11.75,341.69,93.09,14,14.99,3.45,341.69,-75,34.8
2026-06-11T08:00:12,21.0311959,105.8453946,93.2,11.66,349.64,93.04,15,4.04,-0.17,349.64,-87,33.0
2026-06-11T08:00:14,21.0311813,105.845366,92.01,11.12,349.57,92.98,16,9.41,1.0,349.57,-63,26.5
2026-06-11T08:00:16,21.0311417,105.8453045,92.83,11.7,341.59,92.88,17,-2.6,-6.25,341.59,-69,35.6
2026-06-11T08:00:18,21.0311414,105.8452953,91.48,11.33,338.2,92.85,18,-11.36,9.46,338.2,-54,38.6
2026-06-11T08:00:20,21.031175,105.845265,90.02,11.18,343.66,92.8,17,-1.16,-7.65,343.66,-83,33.5
2026-06-11T08:00:22,21.0312096,105.8452664,89.34,11.72,339.56,92.69,17,-3.49,8.44,339.56,-60,37.7
2026-06-11T08:00:24,21.0311515,105.8451976,90.16,12.28,344.16,92.63,17,9.62,-4.34,344.16,-73,39.2
2026-06-11T08:00:26,21.0311643,105.8452232,91.26,12.2,341.48,92.56,18,-1.34,-3.56,341.48,-80,41.7
2026-06-11T08:00:28,21.0311225,105.8452044,92.32,12.06,341.05,92.51,19,-3.42,3.27,341.05,-51,41.7
2026-06-11T08:00:30,21.0311217,105.8451304,92.33,12.2,347.04,92.41,20,-12.01,8.21,347.04,-92,37.3
2026-06-11T08:00:32,21.0311073,105.8451551,91.29,12.15,344.45,92.29,21,4.5,7.04,344.45,-49,39.6
2026-06-11T08:00:34,21.0310881,105.8451258,91.95,12.57,337.03,92.18,20,-7.96,3.69,337.03,-74,42.0
2026-06-11T08:00:36,21.0311276,105.8451152,90.75,12.78,336.13,92.07,20,12.1,-9.08,336.13,-89,30.0
2026-06-11T08:00:38,21.0311076,105.8450585,90.84,12.89,330.85,91.97,19,3.28,-2.35,330.85,-49,29.1
